sentence1,sentence2,label
我在输入身份证号的时候输错了 显示输错次数过多 无法借款,只是输入了名字，身份证后四位，输入就跳出我第一次弄，（身份信息输入错误次数过多，无法借款）,1
1和2的问题,3种问题,1
去哪里借,怎么一直都没开放啊,0
你好。建行和招商银行可以么,你好，我用微粒贷借了款，可是绑定的银行卡丢失了，可以另外绑定银行卡还款吗,0
你好，假如我贷款20个月，半年之后想提前结清可以吗,如果提前还清所有借款，利息是怎么样算的,0
电脑人还能说话,我手机快没电了,0
客服要身份证,如何进入身份证认证？,1
取消借款如何取消,不可以取消借款吗,1
3#答非所问，不能实际解决客户的问题,不是15分钟吗,0
身份信息说去错误,显示身份错误是什么意思？,1
包括：开通,开通个屁啊,0
你好！怎么扣不了款,你好 昨天怎么没有扣款,1
原来我有微粒贷，后来不见了,我的微粒贷图标不见了,1
如何申请更改还款日期,可否推迟还款日期？,0
银行电话啥时候打,什么时间打电话,1
为什么未达到审核标准,为什么不能通过,1
可以提现吗？ 如果我借了钱，一次性还完了，一个月还了，要交多少利息,是不是不能直接取现消费的阿,1
我想知道借款失败的原因,怎么到借钱界面就了？,0
为什么今天还没有扣款呢,不是说凌晨扣款吗，怎么没扣？,1
为什么我的微信曾经有过微粒贷图标但现在却不见了,为什么没有显示微利贷,1
一般多久会开放,Qq也有啊,0
微粒贷需要实名拍张认证吗,只接受中国居民身份证的申请吗？,0
如何关闭微粒袋,如何注销微粒贷,1
真的  我财富消费也蛮多了为什么不给我,是不是有消费的记录才会开通微米粒贷,0
取现可以吗,你好，借来的可以提现吗,1
再打一次,今天打了两个电话来没听到,1
为什么我申请后还没到账,什么时候对用户开通,0
还款绑定的卡已经更换，怎么修改,改一张卡还款怎么改,0
评估根据是什么,怎么查询通过没有,0
我微信没这个功能,我想看效果,0
可以提前还款不,可以提前还清吗,1
一搬多长时间到帐,1万闪电放款,0
我借12000元日利息多少,借3千、日利息不是一毛五吗,1
开通一,开通之后无法借钱,0
开户认证过不了,怎吗开不了户呢,1
关闭借款,借款有提醒嘛,0
借12000每天的利息是多少？,借1万元一天要多少利息,1
确认电话什么时候打来,什么时间打电话,1
为什么贷款还没收到？,亲，借款还是没到账,1
6号到了怎么没扣款？,4.16凌晨还款没有扣款成功怎么办,0
怎么获取权利,如果获取微利贷权限,1
咱们客服电话是多少啊,你好我们的官网电话是多少？,1
我上次还了额度没变,你好我微粒代总额度显示10万，我只能借一万吗,0
你好我申请微粒贷一直未接到电话确认？,为何没人员联系？,1
可以先还利息到期还本吗？,只还利息每月，本金到期在还行吗？,1
今天怎么还没有扣款,我的还款日期是8号，怎么没有银行卡扣款？,1
我有微粒贷但是我没有添加银行卡，是需要添加之前添加的那张信用卡还是其它银行卡都可以啊？,我绑定微粒贷的银行卡丢失了，如果我用别的银行卡换款的话还能再借吗？,0
一万分3个人还的利息是多少,优质用户的贷款利率会适当调整低点吗,0
不是说有电话确认吗？没有接到过电话哦,3次电话都没有接到怎么办,0
咁快邀请我,#吱口令#长按复制此条消息，打开支付宝即可添加我为好友1rSo7U51lY,0
建设银行的储值卡,微粒账号出售,0
不能投资？,借款可以用于救急还行用账单吗？,0
为什么我的微粒贷消失了,那个图标又不见了,1
微粒贷通道在哪,怎么进入借款页面,1
就是借款期限啊！,借款期限可以是一个礼拜吗,1
10000块钱分十个月是不是一个月还1千块,如何分期偿还,0
APP哪儿下载,下载好了怎么弄,0
一般多久可以提额,为什么这期还了款没有收到信息,0
一次性只能借4万,为什么每笔贷款只能是4万,0
你电话多少,你们客服电话号码是多少？,1
1：借贷失败,为什么我的开通不了,0
如何修改还款日,可以更改還款日期嗎？,1
为什么我这个月还了还会收到短信呢？,不告诉你,0
你好！不好意思，请取消借款吧。,不需要借了  ,1
为何我提交了还没有到账,喜欢马上开通,0
怎样关闭微粒,3分钟到了，没有借款是否成功提示,0
刚才打电话没听见,刚刚手机静音没听见,1
您可以登录手机微信，打开我->钱包->微粒贷借钱，没有这功能,刚才申请的微粒贷，说我身份信息输入错误次数太多,0
为什么要支付宝密码,借款需要密码吗,1
五期帐单,10月账单,1
借款可以在柜台机取现金出来用吗,不能转帐提现吗,0
你好，请问每个月只还利息吗？还是连本带息一起还？,如果我明天就全还款有利息嘛,0
客服在吗 我经常用微信支付，为什么还是没有额度，客服 我没有额度,一周年啥用 没额度,0
再次还款失败,在吗。我卡里有钱。怎么还款失败的,0
我钱包里没有这个选项,进去我  钱包   后面 怎么弄,1
下个月两期一起还,不好意思，在乡下今天忘存钱明天能行吗？,0
我需要还清款项的结清证明,想请您出具一个结清证明,1
如何计算利息？提前还款要付违约金,微粒贷购买苹果7plus,0
转账手续费事多少,微众卡转账手续费,1
为什么今天扣款日还没扣款,为什么凌晨没有扣款,1
现在可以贷吗,为什么我出现微粒贷了！却贷不了款,0
你们可以贷款给我吗,就是不可以借钱,0
无法登录，请问？,软件怎么进不去了,1
|如果一次性还完，怎么的算,一笔4万的借款能提前还2万嘛？,0
不符合审批要求，不能借款是什么问题,不符合借钱要求,1
多钱,假如我10月7号还完19000要多少钱,0
借两万能分多少期还,"为什么我借10000分期十期，还了一期1150,余额还有9076.5",0
身份信息输入错误次数过多，借钱失败,怎么说我身份消息输入错误太多不能借,1
我借款提交是总是在身份证后四位后说身体信息输入多次错误，但是我没有输入错误的自己的身份证号肯定能记着呢,我身份证号码输入错误好几次怎么办,1
借款合同,比如上传车辆登记证书，政府彩购合同,0
你好，原来的银行卡换了，我记得前几天提前还了当期的贷款，今天又提醒我还款失败，帮我确认一下！以及如何变更银行卡？,卡状态异常，不能正常还款吗,0
取消自动,取消失败,0
最高只能贷3000？,最多四万？,1
开不了,为什么我输入多次还是开不了户啊？,1
一千块钱，一天多少钱,一般额度最高是多少,0
我之前绑定的手机换了，,我手机没待微粒贷啊！,0
为什么我卡里面有钱  确显示扣款失败,上午没有扣款成功,1
你好。我问一下。怎么更换手机号吗？,您好，可以更换手机号码么,1
刚吃晚饭，电话没接到,电话刚刚未接到,1
全部还款多久可以在借款,今天怎么不能还款？,0
你好，我想问一下，是不是能不能针对一笔已还清的款项开结清证明,你好能给我发个结清单么,1
现在打电话给总客服号码多少,微众的官方QQ群号是多少,0
QQ微粒贷跟微信微粒贷有区别么,qq没有微粒贷怎么申请,0
开通jiehuan,开通也没我,0
最早几点来电,一般多长时间打电话来审核,1
什么要求才有微粒贷 可以可以申请微粒贷,呵呵 希望尽快开通，我在别的地方可以开通好多，信用卡也有，就是不能开通您们这个 谢谢,0
还款银行卡怎么变更？,刚刚申请，还款时间可能申请的太长了，想改怎么改？,0
下一步怎么操作？,再怎么操作,1
为何卷还没到账,估计要等多久微粒贷菜大众化,0
'我昨天申请的，，怎么没有人打电话嘞,2天了，怎么还没打电话啊,1
10月2号，总共还款数目？,你好 我卡里余额足，想提前还款，但是总是提示还款失败。怎么回事？,0
你好 我想咨询一下 我可以提前还清全部借款嘛,不能一个月还清的吗,1
没听到,电话未听到，怎么办,1
不是，我是说我上次借的钱这次一下全还上！下笔借款什么时候能借？,不能借钱,0
福利活动,苹果7手机活动,0
我微信看不了微粒借款这个功能,我指的是可以用微粒贷的款还信用卡的钱吗？,0
为什么评分不够,为什么综合考评过不了,1
/睡什么时候有资格,QQ钱包里看不见,0
10个月利息多少,七天免息期怎么计算日子？,0
何时我会受到要请,一键开通,0
为哪没有,一个月的名额有几个,0
什么提升额度,能申请提高额度吗,1
为什么我的账号通过不了审核,一直审核,0
可以删掉借还记录吗,在哪打印还款记录,0
今天用QQ怎么登陆不了？,app端口登录不上，怎么回事？,1
请问微粒贷现在苹果系统能用吗？,苹果版微信开通不了？,1
我有开户,怎么看开户网点,0
这个和qq的微粒贷是一起的吗,微粒贷怎么还没开放,0
不好意思，不用借了,我不要借了,1
借款提前还清后额度能调整吗,之前微粒贷有额度的，提前还款之后不能用了,1
可以提现不,微货的钱，可以取现明？,1
不可以从微信钱包扣款吗？,你好，我能不能从微信余额中直接还款,1
微信钱包里没有微粒贷，怎样申请？,开通怎么办,0
都申请第二天了，为什么还没有打电话确认,电话确认需要多久,1
10月份帐单,账单怎么寄送,0
一开始复合审批怎么突然不符合审批了？,无法满足审批要求,1
晚上你们也会电话审核吗,电话审核时间,1
你好，微粒贷支持什么银行借贷,微粒贷口袋出现后  原来的银行卡解绑换了别的卡还能借款吗,0
有没有结清证明,你们可以出结清证明吗,1
好像没有那个功能,为何我没那个功能,1
我下载一个怎么登陆不了呀,请问我的账号怎么今天登陆不了呀？,1
银行审批要求,如何审批,1
如何提升额度,就是奇怪啊，朋友很多没有但是我有，说明我信用比朋友好，可打开没一分钱额度，我就感觉奇怪了，没得额度还让我先体验，现在知道了,0
提现,什么东西,0
什么时候借款到账呢,我想借款多长时间能转到里边,1
不符合条件的因素有哪些,为什么我的审批没有过,1
可以贷款不,帮我开通微粒贷吧,0
2天了，钱还没到，我是不是被骗了,1何时才能再次申请微粒贷,0
如果借款正在等待电话审核，怎么取消,怎么取消借款？没人给我打电话,1
借款被退回,可能退钱了,0
信息错误,一直输错，身份信息,1
如何绑定身份证号,微信咋绑定身份证号码,1
提前还款后期还有利息吗,提前还款额度会提升吗,0
什么时候开启借款项目,主动还完多久才可以再次借款？,0
苹果支持不,手机里怎么微粒贷,0
所有的都是对的一直直让我输入密码,你们是不是想骗取密码,0
还有，啊不好意思！这个安全吗？,安全保障,1
我准备还款，并且常用微付，额度怎么也提不上去？,我的额度是6000 还有2400没有还 到这次还款期的时候我准备一次还完 然后想继续再贷  是否可以,0
我怎么没得微粒贷呢,我的钱包怎么没微粒贷,1
多久就能提高额度,多久会提升,1
现在可以打电话过来了,中午12点一2点打电话可以接听,0
什么时候开业开通微粒贷,微粒贷什么时候开始啊,1
怎么可以得到邀请呢！,怎么才是邀请的人,1
这次平安卡系统升级 这个怎么是逾期？,查看逾期,0
我在微信里找不到借钱,微信里面搜索不到啊,1
推迟一天算逾期吗,逾期一天怎么计算,0
何时能开通微粒,19号借款20号到账,0
邮政卡可以吗,我是建设银行的卡,1
刚才的取消了,如何取消授权,0
我昨晚已经还款了怎么还一直提醒我逾期,已经还款，怎么还给我发逾期通知？,1
如何关闭微粒贷功能,我刚操作失误，我不需要贷款,0
现在为什么不能全额还款,我现在不能还款怎么办？,1
申请多久到帐,电话,0
开通下,开通之后怎么没微粒贷图标显,0
什么原因会审核不通过的,我未满足审核要求是什么意思,1
你好！我想更换一下扣款银行卡卡号,你好，我的那个银行卡片坏了，今天刚换了银行卡，怎么修改呢,1
我的微信被盗后！微粒贷额度没有了,微粒贷的钱不见了,1
为什么有图标但没有额度呢？,为什么给我资格，没有额度,1
银行验证码预留的号码已换 收不到短息验证码,验证码发送的手机号怎么修改？,1
如何更换电话号码,我有两个电话号码 怎样更改号码呢？,1
1000元分5期还，一个月要还多少钱呢？,你好，借钱还款是按月算的,0
如何取消,怎么关闭,0
凌晨扣款为何失败,招行还款失败,1
下午两点打的电话，现在银行还没打电话来确认,2天了，怎么还没打电话啊,1
1何时会遨请微粒贷,17点之后存钱呢,0
可以推迟几天还款吗,你好，因为在外地，我逾期一天不好意思,0
开户银行卡绑定不了啊,为什么我的邮储银行卡绑定不了,1
开通不了怎么办,1:如何会邀请我使用微粒贷,0
活动,如何解除绑定银行卡,0
那能取消吗？,微粒贷没用过，怎么关闭,1
为什么我被降低额度了,为何降低额度,1
信息填写,安全,0
微粒贷提前还款还能在借吗,提前还了后可以又借款吗,1
微众银行app今日为什么打不开？,微众银行的App是啥,0
为啥登不进去,今天怎么不能登陆,1
要多久打电话通知,一般多久来电？,1
可以开还款结清证明吗,如何出具还款清单证明,0
如何成为微粒贷客户,怎样才会被邀请开通微粒贷呢？,1
为什么我的微信没有微利贷,上个礼拜我收到可以在微粒贷借款的信息，可现在为什么不能借,0
为什么变成审核失败了,为什么总是失败的？,0
微粒贷没有额度,我朋友的为什么没有额度,1
人工电话多少呢,你们的人工客服电话是多少,1
3:为什么无法查看额度,以前借了的，现在看不到额度了,1
客服同志，请问借款后多久下款,何时下款,1
我的资金没有到账,到帐很快,0
1:看不到微粒代图标,QQ上可以，为什么这里就不可以了,0
重新绑定手机号,最后一步的验证手机是银行预留手机吗？,0
你好，我不明白怎么还款，请问，能不能举例说明啊。比如借一千元，每个月还多钱？是越还越少吗？利息随本金减小变少。,你好。我想把分期的次数改下可以吗。,0
我的借款好像没有正常扣款,当天扣费怎么没有扣,1
解除绑定,为什么用不了,0
一搬什么时候打电话,一般什么时候打电话。礼拜天呢？,1
比如我借款时分了5个月返还，但我一个星期后有能力把全款返还，那利息怎样计？,借多久之后算利息,0
请问借的钱多久可以到账？,已经借款了 多久可以接到电话确认,0
多久会提高额度,在还款期间会不会提高借款额度的？,0
多笔借款怎么算利息,想察看借款额度和收费方式。,0
g7开通,什么地方可以申请贷款,0
我钱包里没有这个选项,钱包进去然后呢,1
别人也找不到,上面没,1
什么时候我才能邀请？,什么时候能邀请我做微粒贷客户啊,1
如何更改每个月的还款日期及金额？,可以申请修改还款日期吗？,1
第一次能借多少钱？,为什么我只能借一千,0
10000元钱，一天要多少利息,100块钱1天还多少钱,1
亲，我原来的号码不用了，银行卡绑定的号码我也去银行更改过了，那我怎么在微信上更改啊,你好，我要换绑定银行卡,1
电话可以更换吗,如何更改绑定手机号,1
借款失败是怎么回事,有借款额度，但是申请借款都不成功，是为什么,0
还款日几点扣款,明天是还款日,0
11月4号我没向微粒贷借过钱，为什么会有还款通知,“扣款成功会有信息通知吗”,0
为什么还没做,5点之后还可以嘛,0
一般会在什么时间打电话,请问确认电话几时打来,1
每月28号凌晨扣款是从几点开始呀,大概什么时间扣款啊？,1
如何修改已绑定账户,换卡后必须把剩余欠款一次还清吗？,0
不要了，你取消吧,不要再打扰我了,0
为什么我用微信验证登录不了呢,4#系统无法登录，无法解决。,1
综合评估是什么意思,没有   个人信用情况如何评估,1
以前的卡掉了重新邦定一张卡怎样邦？,怎样绑定银行卡？,0
如何更改验证手机号？,客服mm，您好，请问如何更改微粒贷的绑定的手机号,1
我换手机号,号码已经变更了,1
一直没有打电话呀？,一直没有接到审核电话怎么办,1
什么时候我才可以 借钱,什么时候可以开始发贷,1
为什么今天登录不了呢,你好，登录不上呢,1
这个平台属于腾讯公司？,进入腾讯要求,0
你的利息是多少,利息如何计算？,1
其他的客服电话,什么能接倒客服电话,0
我前天申请19000，分五个月利息是八百多。今天同样申请怎么要1126呢？,人工,0
没有呢？到现在电话也没来！又请关注,一切就绪就等银行确认放款,0
交易密码是六位数吗我忘记了,你好我的账户和密码忘记了怎么办,0
可以申请开通微粒贷吗,申请,1
为什么我的综合评分未通过,为什么告诉我审核不通过,1
好久开放,钱没到位,0
全额还款后不能申请借款怎么办,为何提前还款会失败?卡里有足够余额,0
怎么用不了,怎么用QQ贷款,0
分期主动还款,如果还快是不是卡里有钱每个月自动扣除？,0
你好，我还没接到电话,刚才没接到电话,1
借款利息如何计算,10000元分20个月还，利息一共多少,0
你好，我想问的是比方说我借了两万，分十期还，每个月还多少,为什么我的额度还没有提高,0
怎么更改手机号,手机号错误,1
但我登录不上啊,今天怎么登录不上了,1
先还一部分不可以,先还500不行,1
为什么显示的可贷50000多，但单笔最高4万呢,为什么单笔最多借款40000,1
我刚才有笔贷款，我要取消,取消借款功能,0
一次不可以还款吗,24日是账单日，24日以后还过一期后，能否再全额还款,0
全部还款后多久可以重新借款？,全额还款后多久能再贷,1
11号第一笔钱没收到怎么办,3天都没接到电话？是啥原因,0
为何我的QQ钱包里没有找到微粒贷图标,我借那么久也没有提升啊,0
一般电话确认要等多久,没有人打电话核实,0
可以改还款日吗？改月底29号因为我们公司25号发工资撞到星期六日工资都没到账,如何更换还款日期,1
4:怎么计息,微粒贷利息怎样算,1
可以借多次吗,还款期间可再次借款吗,0
开通不到,开通.要什么条件,0
为什么银行预留号码不一致,银行预留手机号不对,1
电话号码换为,我已经换手机号码啦怎么操作呢,1
我未满足银行审批啥意思,未达到审批要求是什么意思,1
刚才不好意思，未接到你们的客服电话,可以再打个电话过来吗，刚才漏接了,1
电话审核些什么,为什么我无法通过银行审核,0
怎样填写资料,资料,1
借钱了，在等电话审核中，可以取消吗,不想借款啦怎么取消,0
国华人寿最高限额,贷款限额,1
几时能收到开通的信息,一般申请后多长时间确定信息,1
已经全部还请贷款了，还是不可以借款,提前还款后信用额度是否提升？,0
如何开具结清证明？,你好，我购房贷款，但是征信上有你这个贷款记录，银行说必须把你这个结清，并且开出结清证明，怎么开呢,1
723859什么时候才有微粒贷,00那就不知道了，我好想开通好久了,1
我的账单详情,我需要对账单,1
微粒咨询电话号码多少,你們的客服電話號碼是多少,1
怎么没有审核电话打来呢？,怎么才能审核,0
电话审核要多长时间,一般多长时间,1
验证码发到以前的手机号,到最后验证码的下一步怎么失败的，请教我一下，,1
我是24还，我这个月借钱是不是下个月还,本金和利息一起还吗？,0
如何重新绑定新卡,原绑定卡丢失,1
为什么,微立贷,0
没有中国工商银行,可以不可以农业银行卡吗？,1
为什么一直借款失败,能在后台查出贷款失败的原因吗？,1
一直显示未满足条件,不满足银行审批要求,1
怎样更换手机号？,你们发验证码给我发的是之前的手机号,0
不好意思，请帮忙取消借款,借款发放失败，原申请已撤销,0
借款申请退回,借款取消,1
银行预留电话已更改怎么办,我想更改一下手机号码怎么弄,1
修改财付通电话,就是我民生银行卡之前是预留152号码，现在下午刚换了186号码。,1
如何接受微粒贷邀请,什么时候才能有微粒贷名额？,0
我还款失败，请求帮助,是就这样等吗?,0
你好，我的扣款银行帐号如果明天上午9点半以后才有余额可以扣款，会对还款有影响吗？,综合评估未通过是什么意思,0
为什么我在借款时填写的名字身份证都是对的，可为什么显示错误啊,怎么借款提示身份信息错误多次,1
今天怎么没有扣钱,为什么没有扣钱,1
17点已经过了、还没有扣款,为什么还没有扣款呢,1
怎么修改还款银行帐号,怎么能改还款的银行卡呢,1
aqq下载 微粒贷,没有微力商怎么下载,0
我电话号码变更了怎么操作？,我想问一下，之前的手机号码不用了，用现在的手机号码，怎么更换啊,1
想问一下我怎么能贷款,可以贷款了没,1
我22号扣款，怎么到23号还没扣,您好。早上扣款没有成功但是17点之前已经存款。为什么没有扣除,1
3000元借一周，提前还，利息多少,一次性还清是否还需要利息？,1
我说我不需要耶,不要你,1
app下载好了怎么用微米粒,在春风万家使用如何获得折扣,0
你好无法收到验证码,一直收不住验证码怎么回事,1
为什么我借贷审核不通过啊？,为什么显示可借一千，后又显示没通过审核,1
为什么我的微信没有显示微粒贷这个服,在钱包找不到微粒贷,1
你好，贷款之后钱的用途有限制的吗？,借款不能用于证券投资,0
今天怎么没有扣钱,借钱一个月想全部还可以吗,0
你好，可以改分期吗？,怎么变成10个月啦,0
上一次借款全部还清后可以继续借款吗,一定要还清了贷款才可以再借是吗？,1
为什么我卡里余额有的显示还款失败啊,上面有钱为什么说还款失败呀,1
刚才还款失败,换卡，还款失败,0
我总共借款三笔，还款日期是什么时间,我还款日是8日，凌晨0点扣款，但我是8日8点存钱进去的，扣款未能成功，怎么办？,0
我要换绑定的银行卡,"我绑定的银行掉了，已挂失补了,但是新号码和前面号不一样,我现在有微粒贷怎还款？",1
一个小时了还没有到账,一般微粒什么时候开放,0
1000元要多少钱日息,日利率是多少啊,1
上面有钱为什么说还款失败呀,不能部分还款,0
我用其它卡还本期的行吗,那我用别的卡还钱也不行吗,1
怎么查看账单,本期账单,0
app登不了,为什么微信账号登陆不了了,1
为啥没我资格,在哪里评估了,0
为什么我没有额度？我微信2个号每月几万流水，QQ号也是.怎么回事？不是缺那钱，只是为了救急，方便！,为什么开通了微粒贷没有额度呢,1
怎么不能充值？,为什么充不了钱,1
微粒贷会不会自动取消,微粒贷会不会被取消,1
去银行可取现金吧,可以取出来用吗？,1
为什么现在不能还款啊！,我刚才把钱转进我的还款账号，现在不能还款了吗？,1
超过还款日一天还款会影响个人信用吗,晚还一天没事吧,1
我电话号码变更了怎么操作？,您好，可以更换手机号码么,1
受邀请条件,我昨晚贷的，一直没电话来,0
注销,我不要微粒贷,1
20000元10个月一共利息多少,1000的每日利息多少 可以借几次呢,0
为什么不到账，我卡上没钱，,为什么我的钱没到账,1
5个问题都要问,2这个问题,1
是微粒贷短信号码吗,您好，下次能把消息发到手机上吗？,0
业务账单,可以更改账单日吗,0
不知道借款成功了没有,个个朋友都在晒额度，就我没有,0
为满足银行审批要求是怎么回事,我的为什么没有满足微众银行的审批,1
您好  我想问下  之前我贷款2次  共8000   刚才我提前还清了  想进去再借    它说我不符合要求,提前还款,0
为什么我借款日期是12月21日，首个还款日是2月20日,那我今天借的钱，今天就是还款日，今天就算了吗,0
一次性还完借款，可不可以提高额度,为什么不可以提前还啊,0
如何更改电话,换号码了，怎么更改,1
如一个用未还款，如何收取利息？,一月一分利息,0
1分钟到账，为何还没有信,一般多久可以开通,0
别人都有这功能,借款用于投资,0
马上可以到帐吗,没有电话接到,0
结清后能立马重新借吗,你好，我有一笔贷款，如果现在提前还清，稍后还可以再贷款吗,1
怎么样可以通过审批,是不符合你们的要求吗,0
为什么我的额度还没有提高,为什么一直不提额,1
为什么我开通不了微贷利,13年q龄开不了微粒贷?,0
提前还清,提前还清还能再贷吗,1
怎么我不能通过,综合评估未通过的依据是什么？,1
怎么进微信钱包没有看到你们的帐户呢,进入不了微粒代,1
你好，借款的钱可以取现金吗,一直没有受到确认电话，如何取消借款？,0
何时才可以邀请我使用微粒贷,何时会邀请我使用微粒贷,1
提前还款完以后，还可以在借嘛,提前还款后不能再借钱,1
老是开不了户,香港通行証注册不了，开不了户,0
不能贷有啥用？,为什么不满足借贷,0
不要了，谢谢,不用了，麻烦取消,1
验证的手机号怎么更改,预留电话变更了,1
我就是想取消掉，都不敢绑定银行卡了,我的绑定的银行卡丢了，补了张卡,1
怎没消息？,118是你们公司短信吗,0
"能否通过客服申请延迟1天还钱日,担心工资14日晚上发",你好，我想调整还款日期可以吗,1
把老子微信里的微粒贷关闭删掉了,没借款，怎样关闭微粒贷,1
活期＋，也就是货币基金001234，每日转到建行银行卡有额度限制吗,活期加转出到卡有限额吗,1
什么時候能放款,中秋节到帐吗,0
微粒贷借款怎么三天了还是等待银行电话确认,没有绑定银行卡可以申请微粒贷吗,0
怎么看不见额度,为什么我没额度显示,1
…我想问如何获得微粒贷,不是我上面写得是即将开放,0
为什么我昨天借的钱今天还没到帐,为什么15分钟过了，还没到账,1
现在能贷吗,什么标准才可以使用微粒贷,0
微粒贷利益是多少？,罚息多少钱？,0
不显示微粒贷借钱啊,为什么我不可以用微粒贷,1
1.何时会被邀请,亲、这么开通,0
怎么显示未达到微众银行审批要求,显示是未满足微众银行审批要求,1
怎么更改还款时间,不能呀部分还钱吗？,0
为啥会借款失败 到我了没有,为什么我借款不成功，几次了,1
因手势密码错误而实效怎样再用微信登录,因为我每天查卡里资金现密码已次错误我再也不敢重启密码明天可以再试吧,0
那怎么样关闭,所以 我就想取消微粒贷这个项目,1
有额度、为什么借不了,授信额度,0
农行支持吗,7：支持什么银行,1
电话未接通 能取消借款吗,怎样取消提交的借款,1
一次性提现多少,一次取现额度几多？,1
为什么我的钱包点开，没显示微粒贷呀,为什么我点击钱包没有微粒贷入口,1
我怎么没得微粒贷呢,为什么我没微粒贷,1
378天利率多少,不是这期，是上期，昨天到帐，但利息总资产上看不见,0
审核不通过,借款为什么不通过,1
不换卡,换个卡就可以了吗,0
我可以用别的银行卡还行啊，那个是外地银行卡我不用了,刚还好了，用其他卡还的,0
没法还款咋办呀,今天要还款怎么还不成,1
还款能用其他银行卡吗？,怎么用其它银行卡还？,1
下载了仍然无法登录。,2无法登录,1
我怎么未满足微众银行审批要求？,受邀客户未满足微众银行审批要求,1
10分钟了还没到账,6月5日有个借款，银行账户没收到,0
找不到徽粒货窗口申请,微粒 什么时候开放,0
为什么我申请时出现身份信息输入错误次数过多,我的信息不小心输入三次错误，现在申请不了了,0
换手机号码怎么办？,怎么更改手机号码,1
我咋没微粒贷呀,为啥我没微粒贷图标,1
就是不可以借钱,你好，我要怎么样才可以微信贷,0
微粒贷不可以申请吗,我想办理,0
微众卡活期余额转出它行有没限额？,国华月月赢只限新用户购买吗,0
刚才没接到你们的电话,一次电话没有接到，之后没有再打了,1
我QQ等级比我朋友的都高，消费多，还用财买的理财，为什么不给我微粒贷呢,怎么提额，都按时还款了好多期,0
借款可以在柜台机取现金出来用吗,可以取钱出来吗,1
多笔借款的利息结算,微粒贷均采用日固定利率，按借款的实际天数计息。已发放贷款的执行利率固定不变，每日利息=剩余未还本金（借款金额-已还金额）x日利率（当前日利率为0.05%），您也可以在微粒贷页面点击借款，输入具体借款金额查看对应利息。回复以下序号获取答案：1:了解微粒贷计息详情2:多笔借款的利息计算3:我需要人工帮助,0
多久来电话审核,最早几点来电,1
点击我进入钱包，没有，借款的，提示呀！,我微信的窗口怎么没微粒贷呢？,1
如何开户 微粒贷,你们如何开户,1
不要你说了,下期还款日提醒,0
等待电话确认,什么时候打了电话,1
微信钱包里没有微粒贷，怎样申请？,微粒贷什么时候全面开放,0
可以不按您说的5.10.20分期 只约定一个三个月后一次还完可以嗎,借款可以不分期吗,1
我如果推迟两天款会扣多少钱,因为个人原因 还款时间可能会逾期一天 联系电话,0
为什么我看不了额度啊？看不了额度申请不了啊,为什么无法看额度,1
如果预留在银行的手机号码更改了 更改绑定号码了 怎么办？,如何更改验证手机号？,1
为什么不能微信还款,不能直接用微信还钱必须在卡上转吗,1
为什么有微粒贷但是没额度？,为什么有微粒贷然后没额度,1
一般多久能打来电话？,你好…电话确认要等待多久,1
0.05%是几分利,0.05利息是什么概念，求解,1
你们工作人员可以拨打电话过来了,号码给你,0
你好，我想申请开通微粒贷,请你帮我开通微粒贷,1
你好！我申请了借钱！怎么没到帐,10分还没有到账,1
怎么通过审批要求,2:未满足微众银行审批要求是什么意思3,1
从那进入借货,如果没手机页面没显示呢,0
麻烦你把账单再发一遍给我,10月份帐单,1
2没我微粒贷可以申请吗 何时会邀请我使用微粒贷1,借款 我申请,0
不可以借钱,不能贷款吗我,1
如果提前还清，可以出具贷款结清证明吗？,如果还款清了，如何给证明？,0
你好 请问我能更换绑定的银行卡吗,卡号重新绑定,1
如何使用其他银行卡进行手动还款,怎样手动添加其他银行卡？,0
最短只能分5期吗？,还款后多久才能再借,0
我想成为微粒贷客户,微粒贷怎么才能受邀,0
微信上找不到微粒贷,(⊙o⊙)啥？时候能开,0
怎么借款入口端没,何时会邀请我使用微粒贷 为什么没有微粒贷,0
为什么不支持农村信用社的,我之前绑定的那个银行卡 挂失了   可以换个账户吗,0
页面被锁怎么办,2:微粒贷页面被锁，提示“当前无法借款”,1
可以转账到他行嘛？？,你好、微众银行每日转入最多5万？,0
5000借款，日息多少,可以借款吗 可以借多少款,0
还款时间,那如果我今天借的话 什么时候还啊,1
为什么我被推广了，但没有额度,为什么我的微粒袋没有额度,1
微信钱包还款行吗,我怎么还没有微粒贷 我怎么还没有微粒货呢 我怎么还没有微粒货,0
什么时候可以微粒借钱,什么时候可以确认是否借款成功？是否可以退借款？,0
如何才能开通微粒贷,开通了不借有利息么,0
更改还款卡，怎么该不了,我要更换还款的卡号怎么更换,1
借款提交失败什么原因如果我重新写资料应该点做,我为什么申请不成功，说无法借钱,0
6:审核人员多久联系我,没有再次给我打电话,0
没借款，怎样关闭微粒贷,我要关闭微粒货,1
卡里留了资金，为何显示还款失败,卡上明明有足够的额度扣除还款，为什么还款失败呢？,1
我处理一下登陆不了的问题,怎么没法登录了,1
你司可以发结清帐单吗,你好，贷款能出结清证明吗,1
怎么销户,我想注销账号,1
为什么一直不扣款？应该18号就扣款的！,17点了还没扣款,1
你好，我点微粒货，说我什么没通过银行审核，是什么意思？,为什么审核电话之后借款失败？,1
为什么我没显示微粒贷,qq微粒贷和你是不是一个团伙的,0
